Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
-129.500000	-70.500000	52.93563
-128.500000	-70.500000	61.88503
-127.500000	-70.500000	68.41900
-126.500000	-70.500000	105.44552
-125.500000	-70.500000	139.19172
-124.500000	-70.500000	170.87974
-123.500000	-70.500000	178.41843
-122.500000	-70.500000	193.32776
-121.500000	-70.500000	182.74425
-120.500000	-70.500000	164.34800
-119.500000	-70.500000	137.45010
-118.500000	-70.500000	115.39553
-117.500000	-70.500000	108.65473
-116.500000	-70.500000	101.49106
-115.500000	-70.500000	99.15341
-114.500000	-70.500000	99.88144
-113.500000	-70.500000	95.22880
-112.500000	-70.500000	88.01961
-111.500000	-70.500000	80.80806
-110.500000	-70.500000	65.03875
-109.500000	-70.500000	77.09817
-108.500000	-70.500000	91.71181
-107.500000	-70.500000	99.51748
-106.500000	-70.500000	117.41876
-105.500000	-70.500000	130.13242
-104.500000	-70.500000	149.17647
-103.500000	-70.500000	203.76064
-102.500000	-70.500000	252.92478
-101.500000	-70.500000	315.39428
-100.500000	-70.500000	439.53006
-99.500000	-70.500000	496.44873
-98.500000	-70.500000	670.19580
-97.500000	-70.500000	703.42898
-96.500000	-70.500000	523.42446
-95.500000	-70.500000	260.69980
-94.500000	-70.500000	228.64528
-93.500000	-70.500000	223.62664
-92.500000	-70.500000	213.72848
-91.500000	-70.500000	208.29496
-90.500000	-70.500000	187.42872
-89.500000	-70.500000	161.25937
-88.500000	-70.500000	139.13652
-87.500000	-70.500000	125.17562
-86.500000	-70.500000	148.09559
-85.500000	-70.500000	244.60648
-84.500000	-70.500000	292.20254
-83.500000	-70.500000	276.98994
-82.500000	-70.500000	243.56123
-81.500000	-70.500000	197.31424
-80.500000	-70.500000	105.39242
-79.500000	-70.500000	134.22732
-78.500000	-70.500000	141.82555
-77.500000	-70.500000	162.72223
-76.500000	-70.500000	336.47230
-59.500000	-70.500000	0.90355
-58.500000	-70.500000	0.74720
-57.500000	-70.500000	31.10815
-56.500000	-70.500000	15.58658
-55.500000	-70.500000	64.24248
-54.500000	-70.500000	70.82642
-53.500000	-70.500000	73.32674
-52.500000	-70.500000	74.68836
-51.500000	-70.500000	60.62230
-50.500000	-70.500000	65.22565
-49.500000	-70.500000	60.61124
-48.500000	-70.500000	59.15988
-47.500000	-70.500000	56.23540
-46.500000	-70.500000	51.54464
-45.500000	-70.500000	25.01941
-44.500000	-70.500000	36.30361
-43.500000	-70.500000	93.10174
